2015-07-15 17:43:20,491 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Vaibhav\workspace\GetTaskTrackers
2015-07-15 17:43:20,492 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-07-15 17:43:34,766 [Worker-44] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Vaibhav\workspace\GetTaskTrackers
2015-07-15 17:43:34,767 [Worker-44] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2015-07-15 17:43:36,230 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:43:36,231 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:43:36,232 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:43:36,233 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:43:43,116 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-07-15 17:43:45,790 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Vaibhav\workspace\GetTaskTrackers
2015-07-15 17:43:45,790 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-07-15 17:53:04,460 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:53:04,461 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:53:04,462 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:53:04,463 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:53:15,035 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:53:15,036 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:53:15,037 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:53:15,038 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:54:31,951 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:54:31,952 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:54:31,954 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:54:31,955 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:55:06,150 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:55:06,151 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:55:06,152 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:55:06,153 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:58:30,211 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:58:30,212 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:58:30,214 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:58:30,214 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:58:39,184 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:58:39,185 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:58:39,186 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:58:39,186 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:58:45,650 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:58:45,651 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:58:45,653 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:58:45,654 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:59:20,800 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:59:20,801 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:59:20,802 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:59:20,802 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:59:40,726 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:59:40,726 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 17:59:40,728 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 17:59:40,729 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 18:00:33,981 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 18:00:33,982 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 18:00:33,983 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 18:00:33,983 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 18:00:41,847 [Worker-54] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Vaibhav\workspace\GetTaskTrackers
2015-07-15 18:00:41,847 [Worker-54] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2015-07-15 18:00:43,395 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 18:00:43,396 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 18:00:43,397 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 18:00:43,398 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 18:00:58,472 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-07-15 18:01:00,656 [Worker-61] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Vaibhav\workspace\GetTaskTrackers
2015-07-15 18:01:00,656 [Worker-61] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-07-15 18:01:19,494 [Worker-54] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Vaibhav\workspace\GetTaskTrackers
2015-07-15 18:01:19,495 [Worker-54] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2015-07-15 18:01:20,832 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 18:01:20,833 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 18:01:20,836 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 18:01:20,836 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 18:01:24,708 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-07-15 18:01:27,468 [Worker-43] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Vaibhav\workspace\GetTaskTrackers
2015-07-15 18:01:27,468 [Worker-43] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-07-15 18:01:36,337 [Worker-55] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Vaibhav\workspace\GetTaskTrackers
2015-07-15 18:01:36,338 [Worker-55] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
